,GDP Growth (q/q %),Interest Rate (%),Inflation Rate (YoY %),Unemployment Rate (%)
2020/01/01,-2,6.3,4.5,30.1
2020/02/01,-2,6.3,4.5,30.1
2020/03/01,-2,6.3,4.5,30.1
2020/04/01,-51,6.3,4.5,23.3
2020/05/01,-51,6.3,4.5,23.3
2020/06/01,-51,3.5,2.1,23.3
2020/07/01,67.3,3.5,2.1,23.3
2020/08/01,67.3,3.5,2.1,23.3
2020/09/01,67.3,3.5,2.1,23.3
2020/10/01,6.3,3.5,2.1,23.3
2020/11/01,6.3,3.5,2.1,23.3
2020/12/01,6.3,3.5,2.1,23.3
2021/01/01,6.3,3.5,2.1,23.3
2021/02/01,6.3,3.5,2.1,23.3
2021/03/01,6.3,3.5,2.1,23.3
2021/04/01,6.3,3.5,2.1,23.3
2021/05/01,6.3,3.5,2.1,23.3
2021/06/01,6.3,3.5,2.1,23.3
2021/07/01,-1.7,3.5,7.4,34.9
2021/08/01,-1.7,3.5,7.4,34.9
2021/09/01,-1.7,3.5,7.4,34.9
2021/10/01,-1.7,3.5,7.4,34.9
2021/11/01,-1.7,3.5,7.4,34.9
2021/12/01,-1.7,3.5,7.4,34.9
2022/01/01,-1.7,3.5,7.4,34.9
2022/02/01,-1.7,3.5,7.4,34.9
2022/03/01,-1.7,3.5,7.4,34.9
2022/04/01,-1.7,3.5,7.4,34.9
2022/05/01,-1.7,3.5,7.4,34.9
2022/06/01,-1.7,3.5,7.4,34.9
2022/07/01,-1.7,3.5,7.4,34.9
2022/08/01,-1.7,3.5,7.4,34.9
2022/09/01,-1.7,3.5,7.4,34.9
2022/10/01,-1.7,3.5,7.4,34.9
2022/11/01,-1.7,3.5,7.4,34.9
2022/12/01,-1.7,3.5,7.4,34.9
2023/01/01,-1.7,3.5,7.4,34.9
2023/02/01,-1.7,3.5,7.4,34.9
2023/03/01,-1.7,3.5,7.4,34.9
2023/04/01,-1.7,3.5,7.4,34.9
2023/05/01,-1.7,3.5,7.4,34.9
2023/06/01,-1.7,3.5,7.4,34.9
2023/07/01,-1.7,3.5,7.4,34.9
2023/08/01,-1.7,3.5,7.4,34.9
2023/09/01,-1.7,3.5,7.4,34.9
2023/10/01,-1.7,3.5,7.4,34.9
2023/11/01,-1.7,3.5,7.4,34.9
2023/12/01,-1.7,3.5,7.4,34.9
2024/01/01,-1.7,3.5,7.4,34.9
2024/02/01,-1.7,3.5,7.4,34.9
2024/03/01,-1.7,3.5,7.4,34.9
2024/04/01,-1.7,3.5,7.4,34.9
2024/05/01,-1.7,3.5,7.4,34.9
2024/06/01,-1.7,3.5,7.4,34.9
2024/07/01,-0.3,3.5,7.4,34.9
2024/08/01,-0.3,3.5,7.4,34.9
2024/09/01,-0.3,3.5,7.4,34.9
2024/10/01,0.6,3.5,7.4,31.9
2024/11/01,0.6,7.92,7.4,31.9
2024/12/01,0.6,7.92,7.4,31.9
,,,,
,,,,
,,,,
